"","logFC","pvalue","padj"
"PFKM",0.0233172653601784,0.0140061879980419,0.0239785644356082
"DDX3X",-0.050945154294731,0.010805742739686,0.0189726032324966
"HNRNPUL1",-0.0700883731312787,1.50299037870886e-13,1.85800952787876e-12
"GOT1",0.0220255143336498,0.0217716255311263,0.0355776895347637
"ATP2B4",-0.0408344179383005,0.0129533406670116,0.0223344089078748
"GANAB",-0.0712556983891126,3.10192456713516e-11,2.61102408226596e-10
"OGDH",0.00662416633463691,0.478329979965518,0.547322302045121
"CD63",0.0869381392827866,1.23531870485911e-05,3.76162188857635e-05
"MAGED1",-0.0269097483489858,0.00478748288556931,0.00903986561366657
"SEPT9",-0.0475912196400021,3.53651618493195e-07,1.4418019407278e-06
"RPL10",0.121302420205202,6.40765680043595e-11,5.0925447892313e-10
"CNN1",0.014678253851307,0.467139238206805,0.536967208240186
"HSPA9",0.00209451564426886,0.813088671906399,0.850044285290842
"PPP2R1A",0.0295335574408557,0.020743160542856,0.0340720780604443
"TTYH3",-0.13820400559786,1.17430723904196e-28,9.51261801961814e-27
"HUWE1",-0.0940173067938128,1.89263616524947e-09,1.16763296438901e-08
"KHSRP",-0.0715644683796957,4.7865238268413e-11,3.87738159935802e-10
"PLXND1",-0.11766157419347,6.14106346062005e-14,8.17262751565375e-13
"CRYAB",0.251880454262357,7.49077881361175e-21,2.85657126570539e-19
"XPO4",-0.0351991559266086,0.0403319329152066,0.0620293713537883
"CGNL1",-0.0986555933266846,4.17800345948527e-15,6.70227812036985e-14
"RYR2",0.0885856698973877,1.12385811885295e-09,7.2561176168714e-09
"NDUFV1",0.0711461618369282,9.75319387839035e-05,0.000252183097862742
"DYNC1H1",-0.0138284213057485,0.280608257310914,0.346496202598839
"MDH2",0.0475692899118186,0.0015822200197119,0.00328065397409898
"CASQ2",0.168697401876569,9.57759626094752e-12,8.77800494977354e-11
"CNN3",-0.0391454980300617,0.00245581274152593,0.00490635872778511
"WNK2",-0.0105106844850087,0.434598498142197,0.504902335005392
"FHOD3",-0.0380874488446623,0.0830508141943853,0.119118961698358
"RPS2",0.0734647870129198,2.70096810054984e-05,7.71485457016449e-05
"PRDX2",0.0298005872454098,0.10587908872001,0.148152082145275
"EIF3A",-0.0422284014992526,0.000651444386096748,0.00145034784627412
"TLE5",0.0510593479112999,8.64613851242687e-07,3.24031432411124e-06
"PTN",-0.0656206874249571,6.92072681737157e-07,2.63687172515805e-06
